Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
saj12vyu,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
NormalizeIntensity()",None,4,0,0.24561403508771928,0.14,1.0,,0,215,0,35
rfayvnx2,"TransformResize(600)
TransformPad(600)","RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)",None,4,39,0.15748031496062992,0.10869565217391304,0.2857142857142857,,133,82,25,10
ya5p0y8x,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandFlip(prob=0.5, spatial_axis=1)
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
NormalizeIntensity()",None,4,2,0.24561403508771928,0.14,1.0,,0,215,0,35
nc1gwohh,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0, prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)",None,4,29,0.2857142857142857,0.8571428571428571,0.17142857142857143,,214,1,29,6
5q72u7j7,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0,prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
NormalizeIntensity()",None,4,1,0.25,0.14285714285714285,1.0,,5,210,0,35
f42a64f5,"TransformResize(600)
TransformPad(600)","RandomVerticalFlip()
RandomRotation(degrees=10)
RandomAffine(degrees=10, translate=(0.2, 0.2), scale=(0.8, 1.2), shear=10)
ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.1)
RandGaussianNoise(prob=0.5, mean=0.4, std=0.5)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,4,8,0.0,0.0,0.0,,215,0,35,0
pnlljpwt,"TransformResize(600)
TransformPad(600)","RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
RandGaussianNoise(prob=0.5, mean=0, std=0.0001)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,4,9,0.20512820512820512,1.0,0.11428571428571428,,215,0,31,4
ack7czd3,"TransformResize(600)
TransformPad(600)","RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,4,19,0.71875,0.7931034482758621,0.6571428571428571,,209,6,12,23
j3alolcs,"TransformResize(600)
TransformPad(600)","RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.1)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,4,1,0.27888446215139445,0.16203703703703703,1.0,,34,181,0,35
7gimag8n,"TransformResize(600)
TransformPad(600)",None,None,4,14,0.22807017543859648,0.16455696202531644,0.37142857142857144,,149,66,22,13
ex1p16lt,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
NormalizeIntensity()",None,3,0,0.3424124513618677,0.20952380952380953,0.9361702127659576,,0,166,3,44
qvqq31pr,"TransformResize(600)
TransformPad(600)","RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)",None,3,8,0.608695652173913,0.5147058823529411,0.7446808510638298,,133,33,12,35
o9ej538v,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandFlip(prob=0.5, spatial_axis=1)
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
NormalizeIntensity()",None,3,0,0.0,0.0,0.0,,166,0,47,0
oofdlk6y,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0, prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)",None,3,17,0.4069767441860466,0.28,0.7446808510638298,,76,90,12,35
6c0ixt05,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0,prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
NormalizeIntensity()",None,3,4,0.36153846153846153,0.22065727699530516,1.0,,0,166,0,47
r4l2v623,"TransformResize(600)
TransformPad(600)","RandomVerticalFlip()
RandomRotation(degrees=10)
RandomAffine(degrees=10, translate=(0.2, 0.2), scale=(0.8, 1.2), shear=10)
ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.1)
RandGaussianNoise(prob=0.5, mean=0.4, std=0.5)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,3,0,0.0,0.0,0.0,,166,0,47,0
bql5rgiq,"TransformResize(600)
TransformPad(600)","RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
RandGaussianNoise(prob=0.5, mean=0, std=0.0001)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,3,0,0.2954545454545454,0.2015503875968992,0.5531914893617021,,63,103,21,26
d1m72c0f,"TransformResize(600)
TransformPad(600)","RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,3,0,0.04166666666666667,1.0,0.02127659574468085,,166,0,46,1
nsmcidio,"TransformResize(600)
TransformPad(600)","RandomResizedCrop(510, antialias=True)
RandomVerticalFlip()
RandomRotation(degrees=15)
ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.1)
RandomAffine(degrees=15, translate=(0.1, 0.1), scale=(0.8, 1.2), shear=10)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,3,0,0.2868852459016394,0.17766497461928937,0.7446808510638298,,4,162,12,35
u49kx5vv,"TransformResize(600)
TransformPad(600)",None,None,3,4,0.5053763440860215,0.3381294964028777,1.0,,74,92,0,47
xuaibnp9,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
NormalizeIntensity()",None,2,3,0.0,0.0,0.0,,143,1,27,0
57sou2pd,"TransformResize(600)
TransformPad(600)","RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)",None,2,17,0.25806451612903225,1.0,0.14814814814814814,,144,0,23,4
opaohgnr,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandFlip(prob=0.5, spatial_axis=1)
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
NormalizeIntensity()",None,2,4,0.7105263157894737,0.5510204081632653,1.0,,122,22,0,27
90xpmk0p,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0, prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)",None,2,23,0.912280701754386,0.8666666666666667,0.9629629629629628,,140,4,1,26
1q3cj32x,"TransformResize(600)
TransformPad(600)","RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
RandAdjustContrast(prob=0.5, gamma=(0.5, 4.5))
RandHistogramShift(num_control_points=10, prob=0.5)
RandBiasField(degree=3, coeff_range=(0.0, 0.1), prob=0.5)
RandFlip(prob=0.5, spatial_axis=1)
RandGibbsNoise(prob=0.5, alpha=(0.4, 1.0))
RandZoom(prob=0.5, min_zoom=0.8, max_zoom=1.4)
RandRotate(range_x=10.0, prob=0.5, keep_size=True)
RandGaussianSmooth(sigma_x=(0.25, 1.5), sigma_y=(0.25, 1.5), prob=0.8)
RandAffine(prob=0.5)
RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))
Rand2DElastic(spacing=(20,20), magnitude_range=(1,2), prob=0.4)
RandCoarseDropout(holes=5, spatial_size=(30,30), fill_value=0,prob=0.6)
RandGaussianNoise(prob=0.5, mean=0.3, std=0.3)
NormalizeIntensity()",None,2,6,0.0,0.0,0.0,,144,0,27,0
2um2ihf9,"TransformResize(600)
TransformPad(600)","RandomVerticalFlip()
RandomRotation(degrees=10)
RandomAffine(degrees=10, translate=(0.2, 0.2), scale=(0.8, 1.2), shear=10)
ColorJitter(brightness=0.2, contrast=0.2, saturation=0.2, hue=0.1)
RandGaussianNoise(prob=0.5, mean=0.4, std=0.5)
Normalize(mean=(0.5, 0.5, 0.5), std=(0.5, 0.5, 0.5))",None,2,2,0.2727272727272727,0.15789473684210523,1.0,,0,144,0,27
