Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
2y6kmm7k,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomSaltAndPepperNoise(p=0.5, density=(0.005, 0.01))
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,4,20,0.1818181818181818,0.1176470588235294,0.4,,110,105,21,14
njhb4ems,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,4,10,0.08695652173913043,0.18181818181818185,0.05714285714285714,,206,9,33,2
i72il9uz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,4,16,0.25882352941176473,0.22,0.3142857142857143,,176,39,24,11
6fdnouxu,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.4))
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,4,19,0.2926829268292683,1.0,0.17142857142857143,,215,0,29,6
i05gd2h4,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,4,17,0.2637362637362637,0.21428571428571427,0.34285714285714286,,171,44,23,12
xyg9frfe,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
CT.RandomSaltAndPepperNoise(p=0.5, density=(0.005, 0.01))",None,4,22,0.14754098360655735,0.10344827586206896,0.2571428571428571,,137,78,26,9
beiqiqgp,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,4,20,0.5154639175257731,0.4032258064516129,0.7142857142857143,,178,37,10,25
l95lvmss,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,8,0.3720930232558139,1.0,0.22857142857142856,,215,0,27,8
j0ij4p3v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.4))",None,4,22,0.2258064516129032,0.25925925925925924,0.2,,195,20,28,7
gaas0hq3,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",None,4,29,0.24761904761904763,0.18571428571428572,0.37142857142857144,,158,57,22,13
