Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
6jwx3ltw,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",None,4,17,0.2465753424657534,0.23684210526315788,0.2571428571428571,,186,29,26,9
3rqqw7j8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15)), T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,36,0.08196721311475409,0.05747126436781609,0.14285714285714285,,133,82,30,5
rcjf4gf6,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,14,0.15584415584415584,0.14285714285714285,0.17142857142857143,,179,36,29,6
aaia5vlf,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-25, 25)), T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,4,13,0.2195121951219512,0.1914893617021277,0.2571428571428571,,177,38,26,9
ac47pnoi,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))]), T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,25,0.2391304347826087,0.19298245614035087,0.3142857142857143,,169,46,24,11
n04pqoiv,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))]), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,15,0.14583333333333334,0.11475409836065574,0.2,,161,54,28,7
z0emzpyt,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))])], p=0.5)",None,4,29,0.0625,0.04918032786885246,0.08571428571428572,,157,58,32,3
gknwx4n7,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))])], p=0.5)",None,4,39,0.13793103448275862,0.17391304347826086,0.11428571428571428,,196,19,31,4
srb0lk3k,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,17,0.2040816326530612,0.15873015873015872,0.2857142857142857,,162,53,25,10
40r8k0ai,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,4,15,0.16184971098265896,0.10144927536231883,0.4,,91,124,21,14
m3okih4m,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,12,0.28125,0.3103448275862069,0.2571428571428571,,195,20,26,9
fe5rzt1t,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,4,38,0.48,0.8,0.34285714285714286,,212,3,23,12
20wvtqzq,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",None,3,4,0.8395061728395062,1.0,0.723404255319149,,166,0,13,34
