Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
77q07zt1,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",None,4,27,0.196969696969697,0.13402061855670103,0.37142857142857144,,131,84,22,13
e6oh1pn2,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15)), T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,19,0.029411764705882356,0.030303030303030304,0.02857142857142857,,183,32,34,1
yth2lx6y,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,14,0.2047244094488189,0.14130434782608697,0.37142857142857144,,136,79,22,13
9o9v1eap,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomAffine(degrees=(-25, 25)), T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,4,24,0.057142857142857155,0.04285714285714286,0.08571428571428572,,148,67,32,3
5ywgy83k,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))]), T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,22,0.18181818181818185,0.25,0.14285714285714285,,200,15,30,5
ww4und1x,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))]), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,34,0.06722689075630252,0.047619047619047616,0.11428571428571428,,135,80,31,4
wvidcx6v,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))])], p=0.5)",None,4,39,0.02531645569620253,0.022727272727272728,0.02857142857142857,,172,43,34,1
sz8hklnw,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))])], p=0.5)",None,4,33,0.2096774193548387,0.14606741573033707,0.37142857142857144,,139,76,22,13
st5xxloj,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,15,0.1680672268907563,0.11904761904761904,0.2857142857142857,,141,74,25,10
rgd3aka0,"CT.TransformResize(600)
CT.TransformPad(600)","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,4,28,0.12658227848101264,0.11363636363636365,0.14285714285714285,,176,39,30,5
