Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
04krl6jn,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,21,0.2708333333333333,0.21311475409836064,0.37142857142857144,,167,48,22,13
jm22so0w,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)
MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",None,4,13,0.2340425531914894,0.1864406779661017,0.3142857142857143,,167,48,24,11
zk54xnyq,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,4,12,0.6153846153846154,0.9411764705882352,0.45714285714285713,,214,1,19,16
89oryu3v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",None,4,17,0.3486238532110092,0.25675675675675674,0.5428571428571428,,160,55,16,19
nxu1n0ir,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))",None,4,19,0.23376623376623376,0.21428571428571427,0.2571428571428571,,182,33,26,9
rhgnzz9f,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",None,4,30,0.3760683760683761,0.2682926829268293,0.6285714285714286,,155,60,13,22
59mp8t9m,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,4,14,0.34920634920634924,0.3928571428571429,0.3142857142857143,,198,17,24,11
y9ia6eud,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))
T.RandomHorizontalFlip(p=0.5)
T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))",None,4,22,0.3191489361702127,0.19607843137254904,0.8571428571428571,,92,123,5,30
4qnmckpr,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,4,39,0.43137254901960786,0.6875,0.3142857142857143,,210,5,24,11
ckycmo30,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,3,13,0.8131868131868133,0.8409090909090909,0.7872340425531915,,159,7,10,37
srcms3z2,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)
MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",None,3,17,0.7954545454545454,0.8536585365853658,0.7446808510638298,,160,6,12,35
rd1uc1mz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,3,15,0.896551724137931,0.975,0.8297872340425532,,165,1,8,39
3ccmhjg9,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",None,3,0,0.39325842696629215,0.26717557251908397,0.7446808510638298,,70,96,12,35
1fze9p29,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",None,3,20,0.4234234234234234,0.26857142857142857,1.0,,38,128,0,47
tyolykmx,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))",None,3,16,0.7792207792207793,1.0,0.6382978723404256,,166,0,17,30
sg3r9rsk,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,3,14,0.7848101265822784,0.96875,0.6595744680851063,,165,1,16,31
9l9wwpsc,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
CT.RandomElasticTransform(p=0.5, alpha=(5.0, 50.0), sigma=(4.0, 5.0))
T.RandomHorizontalFlip(p=0.5)
T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))",None,3,17,0.6930693069306931,0.6481481481481481,0.7446808510638298,,147,19,12,35
z694adk8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,3,23,0.5309734513274336,0.4545454545454546,0.6382978723404256,,130,36,17,30
jl03n23e,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
T.RandomHorizontalFlip(p=0.5)
MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,2,27,0.6829268292682926,1.0,0.5185185185185185,,144,0,13,14
c7ynvo6y,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)
MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",None,2,10,0.3125,1.0,0.18518518518518515,,144,0,22,5
i5x5pun8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
T.RandomHorizontalFlip(p=0.5)
T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,2,26,0.6818181818181819,0.8823529411764706,0.5555555555555556,,142,2,12,15
dz68il6b,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)
T.RandomHorizontalFlip(p=0.5)
CT.RandomContrastByMultiply(p=0.5, multiplier=(0.01, 0.1))
CT.RandomBrightnessByAdd(p=0.5, delta=(-0.35, 0.35))",None,2,13,0.8571428571428572,0.9545454545454546,0.7777777777777778,,143,1,6,21
cxp5saad,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))
T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)
T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)
CT.RandomBrightnessByAdd(p=1.0, delta=(0.005, 0.015))",None,2,11,0.7727272727272727,1.0,0.6296296296296297,,144,0,10,17
