Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
pdpqpb3n,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",None,4,13,0.45901639344262296,0.5384615384615384,0.4,,203,12,21,14
fzn8gvc1,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15)), T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,12,0.22485207100591711,0.1417910447761194,0.5428571428571428,,100,115,16,19
l3uioman,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,16,0.06122448979591836,0.047619047619047616,0.08571428571428572,,155,60,32,3
q8bwjc4e,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-25, 25)), T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,4,15,0.40740740740740744,0.5789473684210527,0.3142857142857143,,207,8,24,11
3ky2r8ey,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))]), T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,29,0.1652892561983471,0.11627906976744186,0.2857142857142857,,139,76,25,10
hxju6444,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))]), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,21,0.16666666666666666,0.2,0.14285714285714285,,195,20,30,5
vmlmb82s,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))])], p=0.5)",None,4,29,0.03508771929824561,0.045454545454545456,0.02857142857142857,,194,21,34,1
mbaeetri,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))])], p=0.5)",None,4,16,0.1,0.08888888888888889,0.11428571428571428,,174,41,31,4
hcr94r9m,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,4,14,0.24719101123595505,0.2037037037037037,0.3142857142857143,,172,43,24,11
t6zefn2c,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,4,18,0.2424242424242425,0.25806451612903225,0.22857142857142856,,192,23,27,8
l5exjs1l,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,4,15,0.1282051282051282,0.11627906976744186,0.14285714285714285,,177,38,30,5
k8wcrs29,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,4,23,0.30769230769230765,0.3333333333333333,0.2857142857142857,,195,20,25,10
9awuexmk,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",None,3,14,0.8705882352941177,0.9736842105263158,0.7872340425531915,,165,1,10,37
6qq1vjef,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15)), T.RandomAffine(degrees=(-25, 25))], p=0.5)",None,3,21,0.7692307692307692,0.7954545454545454,0.7446808510638298,,157,9,12,35
